level,query,legal_terminology_rewrite,regulatory_compliance_query,contract_clause_query,risk_scenario_query
process,"Know Your Customer (KYC) regulations for individuals add identity checks to banks’ customer onboarding processes. The KYC process is not fully automated, so it adds to bank employees’ casework, making it one more thing to manage. In the process of creating a new bank account, personal information and documents are gathered from the individual customer, and the name and further personal information are validated through various checks and confirmations. The customer's name is also checked against a Politically Exposed Persons (PEP) database to ensure they are not high-risk individuals, and any suspicious activity is flagged for further investigation. The new customer is manually reviewed following a set of guidelines for acceptability and risk level before being onboarded, and assistance is provided in navigating their account and accessing relevant products and services.","Customer due diligence requirements and AML/CTF program procedures for a reporting entity establishing a business relationship with a natural person or sole trader. Includes the collection and verification of KYC information using reliable and independent sources, alternative identity proofing, screening for Politically Exposed Persons (PEPs), and applying risk-based systems and controls to mitigate ML/TF risk.","Regulatory obligations under AML/CTF Rules for a reporting entity conducting Know Your Customer (KYC) and customer due diligence. Requirements include mandatory customer identification programs, obtaining KYC information such as full name and residential address, responding to discrepancies, utilizing reliable and independent electronic data, managing self-attestation, and applying ongoing and enhanced customer due diligence to manage ML/TF risk during onboarding.","Contractual and procedural provisions detailing a reporting entity's AML/CTF program, specifically the risk-based systems and controls for customer identification requirements. Clauses covering the collection and verification of KYC information, reliance on independent documentation, PEP screening duties, and the authorization to use alternative identity proofing or self-attestation for individual customer onboarding.","Legal consequences and enforcement actions for AML/CTF breaches by a reporting entity, including failure to implement appropriate risk-based systems and controls for ML/TF risk, inadequate verification of KYC information from reliable and independent sources, liability for ignoring discrepancies or doubts about the veracity of identity documents, non-compliance with customer identification programs, and violations such as the tipping off offence during suspicious activity investigations."
subprocess,"To create a new account, the required personal information and documents are gathered from the customer and entered into the bank's account opening system, and a unique account number is generated to identify the account in the bank's systems.","Establish the identity of a customer by a reporting entity, performing customer due diligence procedures to collect and verify KYC information such as full name, date of birth, and residential address using reliable and independent sources during account origination.","Obligations under the AML/CTF Act and Rules for a reporting entity's AML/CTF program to collect, verify, and update KYC information, ensuring customer identification requirements and record-keeping are met using reliable and independent documentation or electronic data.","Contractual and policy provisions governing the reporting entity's risk-based systems and controls, customer identification requirements, and procedures to collect and verify KYC information during customer onboarding or account opening.","Consequences and regulatory penalties when a reporting entity is unable to establish the identity of a customer, has doubts about the veracity or adequacy of documents, suspects the customer is not who they claim to be, or fails in alternative identity proofing processes."
subprocess,"A customers identity is validated by verifying their full name and depending on country specific requirements further personal information like citizenship, residential address or date of birth. The verification should be based on documentation or reliable and independent electronic data. The details provided by the customer are confirmed through customer contact.","Customer due diligence procedures and customer identification requirements for a reporting entity within an AML/CTF program to verify KYC information, including the customer's full name, date of birth, and residential address, utilizing reliable and independent documentation, reliable and independent electronic data, or alternative identity proofing processes such as self-attestation.","What are the regulatory obligations for a reporting entity under AML/CTF rules and FATF Recommendations to collect and verify KYC information, including customer full name, date of birth, and residential address, using reliable and independent sources, and the requirements for maintaining appropriate risk-based systems and controls for alternative identity proofing?","Contractual and policy provisions requiring an AML/CTF program to include risk-based systems and controls for customer due diligence, specifically clauses detailing the procedure to collect and verify KYC information like full name and residential address using reliable and independent electronic data or documentation, and provisions for handling discrepancies or accepting self-attestation.","Legal consequences and regulatory penalties when a reporting entity has doubts about the veracity or adequacy of KYC documents, fails to establish customer identity, discovers discrepancies in reliable and independent electronic data, or suspects on reasonable grounds that the customer is not the person they claim to be, including risks related to the tipping off offence."
subprocess,A customer's identity is checked against a Politically Exposed Persons (PEP) as well as an independent database to ensure that they do not require special treatment. Any potential matches are flagged for further investigation by the appropriate department.,"Customer due diligence procedures within an AML/CTF program to verify the customer's identity and beneficial owner using reliable and independent electronic data or documentation, including screening for Politically Exposed Persons (PEP), and applying risk-based systems and controls to respond to any discrepancy or investigate matches.","Obligations of a reporting entity under AML/CTF rules to collect and verify KYC information using reliable and independent sources, conduct mandatory PEP screening, apply enhanced customer due diligence, and implement risk-based systems and controls to mitigate and manage ML/TF risk when identities are flagged.","Procedural provisions and policy terms requiring a reporting entity, employee, or agent to verify KYC information against reliable and independent electronic data, execute an AML/CTF program, manage identity discrepancies, and document customer due diligence and escalation procedures.","Legal consequences and liability for a reporting entity failing to establish customer identity, inadequate risk-based systems and controls for PEP screening, deficient ongoing customer due diligence, and civil or criminal proceedings arising from money laundering or financing of terrorism offences due to AML/CTF breaches."
subprocess,"To verify an account, the accuracy of the customer's account details such as account number and routing number is confirmed, and the source of funds for the new account is verified to ensure compliance with relevant laws and regulations, while any suspicious activity detected is flagged for further investigation by the appropriate department.","Customer due diligence procedures and applicable customer identification requirements for a reporting entity under the AML/CTF Act, including establishing the identity of the customer and beneficial owner using reliable and independent documentation or electronic data, verifying KYC information, and monitoring for suspicious activity without contravening the tipping off offence.","Mandatory statutory obligations under AML/CTF Rules for reporting entities to implement risk-based systems and controls, verify the accuracy of customer electronic data, obtain and update KYC information, validate source of funds, and comply with suspicious activity reporting requirements subject to AUSTRAC CEO regulatory oversight.","Procedural provisions and policy terms specifying the reporting entity's customer identification requirements, alternative identity proofing processes, senior officer approval requirements for correspondent banking relationships, and the duty to maintain written records of due diligence assessments for account verification.","Regulatory penalties and liability for a reporting entity failing to comply with the AML/CTF Act, including the inability to establish customer identity, doubts about the veracity or adequacy of KYC documents, negligent verification of reliable and independent electronic data, and violations involving the tipping off offence or failure to report suspicious activity."
subprocess,"To manually review a new customer, a thorough review of the customer's information and history, including their financial history, is conducted to ensure they are an acceptable customer, while their potential risk level is evaluated based on factors such as their occupation, source of funds, and transaction history.","Customer due diligence procedures and risk-based systems and controls for a reporting entity to verify a customer's identity and KYC information. This includes establishing the identity of the customer and beneficial owner using reliable and independent sources to assess ML/TF risk, evaluate financial history, and ensure AML/CTF compliance during onboarding.","Regulatory obligations and requirements under the AML/CTF Rules and FATF Recommendations for a reporting entity to establish the identity of a customer. Mandatory requirements for an AML/CTF program to include risk-based systems and controls, collect and verify KYC information, conduct ongoing customer due diligence, and mitigate ML/TF risk based on transaction and financial history.","Policy terms, procedural provisions, and contract clauses requiring an AML/CTF program to include a procedure for the reporting entity to collect and verify KYC information. Provisions governing risk-based systems and controls to resolve discrepancies in a customer's identity, evaluate acceptable ML/TF risk, and determine customer acceptability using reliable and independent electronic data.","Regulatory penalties and compliance failures when a reporting entity is unable to establish the identity of a customer or fails to apply appropriate levels of ongoing customer due diligence. Legal consequences, AUSTRAC enforcement, and ML/TF risk violations arising from inadequate verification of KYC information, doubts about the veracity of documents, or tipping off offences during customer risk evaluation."
subprocess,"To onboard a new customer, their account is created in the bank's system, relevant agreements and disclosures are signed, and the features and benefits of the customer's specific account type, such as interest rates and fees, are explained to them.","Provision of a designated service and establishment of a customer relationship by a reporting entity, encompassing customer due diligence procedures, verification of KYC information and identity proofing, execution of applicable terms and conditions, and formal disclosure of financial account features.","Regulatory obligations for a reporting entity providing a designated service, including mandatory customer due diligence (CDD), collection and verification of KYC information, identifying beneficial owners, alternative identity proofing processes, and AML/CTF Act compliance during financial institution customer onboarding.","Mandatory contract clauses, terms and conditions, and consumer regulatory disclosures regarding fee schedules, interest rates, and designated services that must be executed and provided to a customer by a financial institution or reporting entity upon account creation.","Legal consequences and penalties for a reporting entity failing to perform adequate customer due diligence or verify KYC information, liability for misrepresentation of designated services, tipping off offences, and non-compliance with AML/CTF Rules during customer onboarding."
subprocess,"To welcome a new customer, an overview of the bank's products and services that may be of interest to the customer based on their profile is provided, while assistance is offered to the customer in navigating their account, including setting up online banking, setting up alerts, and addressing any questions or concerns they may have.","Customer due diligence procedures and KYC information collection for new client onboarding by a reporting entity, including identity verification using reliable and independent electronic data, establishing a business relationship, and setting up online banking services and alerts.","AML/CTF regulatory obligations for a reporting entity during new customer onboarding, requiring mandatory customer identification requirements, verification of KYC information, customer due diligence compliance, and data protection rules for customer profiling and electronic alert configurations.","Terms and conditions in the account agreement governing new customer onboarding, including consumer consent for identity proofing, disclosures regarding targeted financial products, procedures for updating KYC information, and provisions for electronic banking and alert setup.","Legal penalties for a reporting entity failing to complete customer due diligence or verify KYC information during account onboarding, regulatory consequences for AML/CTF non-compliance, and liability for improper data handling during online banking enrollment or customer profiling."
task,"Collect all the necessary personal information and documents from the customer, such as their name, address, and identification.","Collection of KYC information, personal information, and reliable and independent documentation or electronic data for customer identification programs, enhanced customer due diligence procedures, and identity proofing processes by a reporting entity or Australian Privacy Principle entity.","Regulatory requirements and AML/CTF rules for a reporting entity or Australian Privacy Principle entity to reasonably obtain, verify, and protect KYC information, including customer date of birth and residential address, and collect necessary personal information using reliable and independent sources.","Privacy policy clauses, customer declarations, and AML/CTF program procedures governing the collection, self-attestation, and verification of customer identity, beneficial owner details, and evidence of identity using reliable and independent documents.","Compliance failures, liability for unauthorised access, misuse or disclosure of collected personal information, and consequences when a reporting entity suspects false identity or has doubts about the veracity or adequacy of documents or KYC information previously obtained for customer verification."
task,"Enter the customer's information into the bank's account opening system, ensuring that all fields are accurately filled out and any required documentation is uploaded.","Collection and verification of KYC information to establish the identity of a customer, ensuring data accuracy and utilizing reliable and independent documentation or reliable and independent electronic data in accordance with the reporting entity's AML/CTF program and customer due diligence procedures.","Regulatory requirements for a reporting entity or financial institution under an AML/CTF program to collect, verify, and update KYC information, maintain risk-based systems and controls for data accuracy, and prepare a written record of reliable and independent documentation during customer onboarding.","Provisions requiring the reporting entity to implement risk-based systems and controls, ensure the collection and verification of KYC information using reliable and independent electronic data, and maintain written records of customer due diligence assessments.","Failure of a reporting entity to comply with AML/CTF program procedures, including inability to establish the identity of a customer, verify KYC information using reliable and independent documentation, or maintain accurate written records and data accuracy."
